Job,Joblink,Company,Company Link,Job Tags,Date Posted,Compensation
Content Creator,https://angel.co/company/dental-window-1/jobs/650541-content-creator,Dental Window,https://angel.co/company/dental-window-1,"Full Time · Mumbai · Social Media · Writing · Technical Writing · Content and Creative Writing
·","Posted
about 12 hours
ago",₹2L – ₹3.5L · No equity
Laravel Fullstack Developer,https://angel.co/company/thecodework-1/jobs/650530-laravel-fullstack-developer,TheCodeWork,https://angel.co/company/thecodework-1,"Full Time · Remote possible · Kolkata · MySQL · Redis · Laravel · Design Patterns · VueJS
·","Posted
about 12 hours
ago",₹3L – ₹5L · No equity
DevOps Engineer for Open Banking Startup,https://angel.co/company/banfico/jobs/650510-devops-engineer-for-open-banking-startup,Banfico,https://angel.co/company/banfic,"Full Time · London · HAProxy · Ansible · Kubernetes · Terraform · ELK Stack · ElasticSearch logstash kibana
·","Posted
about 13 hours
ago",£70k – £80k · No equity
Backend Developer - Internship (Django is a must),https://angel.co/company/snapqa/jobs/650498-backend-developer-internship-django-is-a-must,TutorBin,https://angel.co/company/snapqa,"Internship · Kharagpur · Software Engineer · Backend Developer · Full-Stack Developer · Python · HTML · CSS · Django · Bootstrap · React.js · React Native
·","Posted
about 13 hours
ago","₹10,000 – ₹15,000 · No equity"
React-Native Internship,https://angel.co/company/snapqa/jobs/592754-react-native-internship,TutorBin,https://angel.co/company/snapqa,"Internship · Kolkata · Kharagpur · Full-Stack Developer · Mobile Application Design · Mobile Development · Mobile Application Development · Application Development · React.js · React Native · Full-Stack Web Development (Node/Redux/React) · ReactJS
·



Posted
3 months
ago",,"₹5,000 – ₹15,000 · No equity"
Operations Executive,https://angel.co/company/snapqa/jobs/507117-operations-executive,TutorBin,https://angel.co/company/snapqa,"Full Time · Kharagpur · Operations Manager · Microsoft Excel · Microsoft Word · Multitasker; Team player; Hard worker · English language
·



Posted
8 months
ago",,"₹18,000 – ₹25,000 · No equity"
React-Native App developer(Hybrid/iOS/Android),https://angel.co/company/snapqa/jobs/473568-react-native-app-developer-hybrid-ios-android,TutorBin,https://angel.co/company/snapqa,"Full Time · Kharagpur · Mobile Developer
·



Posted
11 months
ago",,₹7L – ₹10L · No equity
Project Manager / Business Analyst,https://angel.co/company/designcoz/jobs/650469-project-manager-business-analyst,DesignCoz,https://angel.co/company/designcoz,"Full Time · Mumbai · Team Management · Resource Allocation · Multi Tasking · Building Efficient Processes
·","Posted
about 14 hours
ago",₹6L – ₹12L · No equity
Product Manager / Product Strategist,https://angel.co/company/designcoz/jobs/650466-product-manager-product-strategist,DesignCoz,https://angel.co/company/designcoz,"Full Time · Mumbai · Product Manager · Strategic Planning · Teamwork · Strong Analytical Skills · Strong Interpersonal Skills
·","Posted
about 14 hours
ago",₹7.2L – ₹14L · No equity
UI/UX Designer,https://angel.co/company/designcoz/jobs/537951-ui-ux-designer,DesignCoz,https://angel.co/company/designcoz,"Full Time · Mumbai · UI/UX Designer
·



Posted
6 months
ago",,₹5L – ₹9L · No equity
Backend JS Engineer - NodeJS +Firebase ( 1.5 Month Project ),https://angel.co/company/transform-6/jobs/650456-backend-js-engineer-nodejs-firebase-1-5-month-project,Transform,https://angel.co/company/transform-6,"Contract · Bengaluru · Payments · Node.js · Google Analytics · Firebase · NodeJS
·","Posted
about 14 hours
ago",₹10L – ₹12L · No equity
FrontEnd JS Engineer To Build PWA ( 1.5 Month Project ),https://angel.co/company/transform-6/jobs/650455-frontend-js-engineer-to-build-pwa-1-5-month-project,Transform,https://angel.co/company/transform-6,"Contract · Bengaluru · Javascript · Ionic Framework · React.js · ReactJS
·","Posted
about 14 hours
ago",₹10L – ₹12L · No equity
