Job,Company,Location,Days posted
Facilities Engineer (Warehousing Facility/ Radio Shuttle Racking) - Kenya,CA Global Africa Recruitment,"Nakuru, KE",2d
Cashiers needed,Cuyler Products Inc,"Eastern Province, KE",1d
Financial Consultant,Liberty Advisers Inc.,"Western Province, KE",1d
"Manager, Data Management and Governance",GREAT EASTERN,"Eastern Province, KE",New
"Chief of Party, USAID/Kenya Youth Activity",IREX,"Nairobi, KE",3d
Freelance Business Solutions Executives (Digital) at Nation Media Group,Nation Media Group,"Nairobi, KE",3d
Assistant Commissioner For Cooperative Development at Public Service Commission,Pensacola State College,"Nairobi, KE",4d
Senior Credit Relationship Officer at Old Mutual Kenya,Old Mutual Kenya,"Nairobi, KE",4d
Retail Jewellery Sales Consultant,Khula,"Western Province, KE",1d
Strategy Director,One Acre Fund,"Nairobi, KE",New
Resident Pharmacist,Eastern Health,"Eastern Province, KE",New
