Job Title,Company,Location,Remote,Relocation,Compensation,tags
Sr Full Stack .NET developer,emaratech FZ LLC,"Dubai, United Arab Emirates",,Paid relocation,$50k - 52k,"c#,asp.net,asp.net-mvc,asp.net-web-api,wcf"
"Manager, Java / Kotlin / ReactJS Software Engineering - Logistics (f/m/d)",Delivery Hero SE,"Berlin, Germany",,Paid relocation,,"java,kotlin,jvm,reactjs"
DevOps Software Engineer (m/f/d),OXID eSales AG,"Freiburg im Breisgau, Germany",,Paid relocation,€45k - 60k,"linux,docker,php,mysql"
Senior ServiceNow Developer (m/f),Tricentis GmbH,"Wien, Austria",,,,"scrum,servicenow"
Senior Full Stack Engineer (Java and React) for Order Management,Zalando SE,"Berlin, Germany",On-site and limited remote,Paid relocation,,"reactjs,java,rest"
Senior Software Engineer - Corporate Performance Analytics,McKinsey & Company,"Chicago, IL",,,,"amazon-web-services,python,go,ruby"
Embedded Software Engineer - POSIX RTOS (Madrid OR Barcelona),Silicon Gears SL,"Madrid, Spain",,Paid relocation,,"c,qnx,embedded-linux,shell"
"Senior Engineer, Protocols",Auth0,No office location,Remote,,,"node.js,saml,openid-connect,oauth-2.0,typescript"
Senior Software Technical Lead,Camlin Group,"Lisburn, UK",,Paid relocation,£50k - 65k,"reactjs,embedded,cloud,c++,javascript"
Sr Full Stack Java developer,emaratech FZ LLC,"Dubai, United Arab Emirates",,Paid relocation,$50k - 52k,"java,microservices,angular,design-patterns,spring"
Developer,"Hays London City Cheapside
                via
Hays plc","Romford, UK",,,,".net,c#,asp.net-mvc"
DevOps Engineer - Linux (m/f/x),HeavenHR,"Berlin, Deutschland",,Paid relocation,€60k - 80k,"linux,jenkins,bash,docker,pfsense"
Site Reliability Engineer,Choco,"Berlin, Germany",,Paid relocation,"€55k - 75k

                         | 
Equity","amazon-web-services,amazon-cloudformation,aws-codepipeline,aws-codebuild,sysadmin"
Customer Success Manager (located in Europe or the USA),Platform.sh,No office location,Remote,,,"symfony2,cloud,web-services,amazon-web-services,dns"
Senior Software Engineer - Back-End Developer,Olo,No office location,Remote,,,"c#,.net,asp.net"
Application Developer (Customer Service Applications),Singapore Airlines,Singapore,,,,"java,reactjs,node.js,amazon-web-services"
Full Stack Developer (E-Commerce),Singapore Airlines,Singapore,,,,"reactjs,java,node.js,next.js,amazon-web-services"
"Full Stack Developer - REACT, RoR, Hyper-Growth Health Tech",Doctolib,"Paris, France",,Paid relocation,€60k - 75k,"reactjs,ruby-on-rails,ruby,react-native,tdd"
Software Developer (m/f/d),ThoughtWorks Inc.,"Stuttgart, Germany",,,,"oop,agile,java,javascript,tdd"
