Job Title,Company,Location,Job Link,Employment Type,Compensation,Date Posted
Fullstack .NET Developer London,Nigel Frank International,"London, United Kingdom",https://www.careerjunction.co.za/jobs/view/2333739/fullstack-.net-developer-london-in-london-united-kingdom-at-nigel-frank-international,Permanent Senior position,"£60,000 - £80,000 pa basic salary",20/09/2019
Lead Developer,SD Recruitment (Pty) Ltd,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2333506/lead-developer-in-cape-town-western-cape-at-sd-recruitment-pty-ltd,Permanent Senior position,Market Related cost to company Neg,19/09/2019
Nodejs Developer,Datafin Recruitment,Western Cape,https://www.careerjunction.co.za/jobs/view/2333489/nodejs-developer-in-western-cape-at-datafin-recruitment,Permanent Intermediate position,Market Related basic salary,19/09/2019
Intermediate .NET Developer Snr-Level,Emerge,"Johannesburg, Gauteng",https://www.careerjunction.co.za/jobs/view/2333107/intermediate-.net-developer-snr-level-in-johannesburg-gauteng-at-emerge,Permanent Senior position,"R400,000 - R500,000 pa cost to company",18/09/2019
Senior Frontend Java Developer Contract,Emerge,"Pretoria CBD, Gauteng",https://www.careerjunction.co.za/jobs/view/2319372/senior-frontend-java-developer-contract-in-pretoria-cbd-gauteng-at-emerge,Contract Senior position,Undisclosed basic salary,18/09/2019
Senior Devops Engineer Contract Rates Negotiable & .,Emerge,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2319319/senior-devops-engineer-contract-rates-negotiable-.-in-cape-town-cbd-western-cape-at-emerge,Contract Senior position,R600 - R750 ph cost to company,18/09/2019
Senior Java JEE Developer,e-Merge IT Recruitment,"Menlyn, Gauteng",https://www.careerjunction.co.za/jobs/view/2319270/senior-java-jee-developer-in-menlyn-gauteng,Contract Intermediate EE position,R500 - R700 ph cost to company,18/09/2019
Back-End .NET Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2333082/back-end-.net-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary Neg,17/09/2019
Full Stack Developer Intermediate Senior,e-Merge IT Recruitment,"Parklands, Western Cape",https://www.careerjunction.co.za/jobs/view/2318937/full-stack-developer-intermediate-senior-in-parklands-western-cape,Permanent Senior EE position,"R500,000 - R1,000,000 pa cost to company",17/09/2019
Senior PHP Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2332807/senior-php-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary plus commission and benefits Neg,16/09/2019
Fullstack .NET Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2332659/fullstack-.net-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related basic salary Neg,16/09/2019
Senior Java Devops Specialist P H,e-Merge IT Recruitment,"Midrand, Gauteng",https://www.careerjunction.co.za/jobs/view/2325566/senior-java-devops-specialist-p-h-in-midrand-gauteng,Contract Specialist position,R550 - R650 ph cost to company,16/09/2019
Senior Back-End Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2332532/senior-back-end-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary plus benefits Neg,16/09/2019
Senior Back End Java Developer,Emerge,"Sandton, Gauteng",https://www.careerjunction.co.za/jobs/view/2318258/senior-back-end-java-developer-in-sandton-gauteng-at-emerge,Permanent Specialist position,"R100,000 - R105,000 pm cost to company",12/09/2019
Senior Full Stack Python Developer,e-Merge IT Recruitment,"Sandown, Gauteng",https://www.careerjunction.co.za/jobs/view/2325428/senior-full-stack-python-developer-in-sandown-gauteng,Contract Senior position,R600 - R650 ph cost to company,12/09/2019
Senior Java Developer,e-Merge IT Recruitment,"Centurion, Gauteng",https://www.careerjunction.co.za/jobs/view/2311477/senior-java-developer-in-centurion-gauteng,Permanent Senior position,"R800,000 - R840,000 pa cost to company",12/09/2019
Applications Developer iOS & Android,Universal Healthcare,"Sunninghill, Gauteng",https://www.careerjunction.co.za/jobs/view/2291592/applications-developer-ios-android-in-sunninghill-gauteng-at-universal-healthcare,Permanent Intermediate position,Undisclosed cost to company,10/10/2019
Software Tester,Warrior Talent,"Wynberg, Western Cape",https://www.careerjunction.co.za/jobs/view/2338284/software-tester-in-wynberg-western-cape,Permanent Specialist position,Undisclosed cost to company,16/10/2019
Payroll Implementation Specialist,Career Minded,"Lynnwood, Gauteng",https://www.careerjunction.co.za/jobs/view/2338273/payroll-implementation-specialist-in-lynnwood-gauteng,Permanent Intermediate position,"R30,000 - R45,000 pm cost to company",16/10/2019
Back-End Developer Python CH437,Capital H Staffing,"Paarl, Western Cape",https://www.careerjunction.co.za/jobs/view/2318100/back-end-developer-python-ch437-in-paarl-western-cape,Permanent Senior position,Undisclosed cost to company,16/10/2019
Network Systems Engineer,Personnel Connect International,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2338239/network-systems-engineer-in-cape-town-cbd-western-cape-at-personnel-connect-international,Permanent Specialist position,Undisclosed cost to company,16/10/2019
Software Developer,MPC Recruitment,"Port Elizabeth, Eastern Cape",https://www.careerjunction.co.za/jobs/view/2338151/software-developer-in-port-elizabeth-eastern-cape-at-mpc-recruitment,Contract Intermediate position,Undisclosed cost to company,15/10/2019
C# .NET Lead Developer,EOH_IS,"Not specified, Gauteng",https://www.careerjunction.co.za/jobs/view/2338158/c%23-.net-lead-developer-in-not-specified-gauteng-at-eoh-is,Permanent Intermediate position,Cost to company Neg,15/10/2019
Senior .NET Developer,Network IT Bruma,"Centurion, Gauteng",https://www.careerjunction.co.za/jobs/view/2331919/senior-.net-developer-in-centurion-gauteng,Permanent Senior position,"R50,000 - R60,000 pm cost to company",15/10/2019
Android Mobile Developer,MIT Recruitment,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2322573/android-mobile-developer-in-cape-town-cbd-western-cape,Permanent Senior position,Undisclosed cost to company,15/10/2019
Senior C#.NET Software Engineer,Hire Resolve,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2337958/senior-c%23.net-software-engineer-in-cape-town-cbd-western-cape,Permanent Specialist position,Undisclosed cost to company,15/10/2019
Software Developer,Headhunters,"Port Elizabeth, Eastern Cape",https://www.careerjunction.co.za/jobs/view/2337877/software-developer-in-port-elizabeth-eastern-cape-at-headhunters,Permanent Intermediate position,Market Related basic salary,14/10/2019
