Job,Category,Company,Location,Compensation,Link
Web Developers,Software Engineering,RECOURS FOUR KENYA CONSULTANTS,Nairobi,$5k – $8k • No equity,https://angel.co/company/recours-four-kenya-consultants-1/jobs/586497-web-developers
Senior Software Engineer (Full Stack),Software Engineering,Maisha Meds,Remote,$36k – $60k • 1.0% – 2.0%,https://angel.co/company/maisha-meds-1/jobs/609391-senior-software-engineer-full-stack
Senior Software Engineer (Android),Software Engineering,Maisha Meds,Remote,$36k – $60k • 0.0% – 2.0%,https://angel.co/company/maisha-meds-1/jobs/609392-senior-software-engineer-android
Front End Developer,Software Engineering,Giraffe,Johannesburg,$30k – $100k • No equity,https://angel.co/company/giraffe-1/jobs/391650-front-end-developer
Full stack developer wanted to join SA’s hottest startup,Software Engineering,Giraffe,Johannesburg,$20k – $50k • 0.0% – 5.0%,https://angel.co/company/giraffe-1/jobs/608843-full-stack-developer-wanted-to-join-sa-s-hottest-startup
Learning Designer,Design,Arifu,Nairobi,$15k – $18k • 0.0% – 0.5%,https://angel.co/company/arifu-kenya/jobs/606463-learning-designer
Administration clerk,Operations,Lace Diamond Mine,Virginia,,https://angel.co/company/lace-diamond-mine/jobs/606032-administration-clerk
Administration clerk,Operations,Lace Diamond Mine,Pretoria,$1k – $2k • No equity,https://angel.co/company/lace-diamond-mine/jobs/606033-administration-clerk
Senior Technical Consultant,Software Engineering,BUI,Remote,$1k – $5k • No equity,https://angel.co/company/bui-1/jobs/600794-senior-technical-consultant
International Sales Manager for a Global Fintech Company,Sales,Alariss,London,$60k – $140k • No equity,https://angel.co/company/alariss/jobs/598007-international-sales-manager-for-a-global-fintech-company
Digital content manager,Marketing,Balancell,Cape Town,$10k – $20k • No equity,https://angel.co/company/balancell-com/jobs/593778-digital-content-manager
Production supervisor,Operations,Balancell,Cape Town,$15k – $25k • No equity,https://angel.co/company/balancell-com/jobs/593775-production-supervisor
Battery assembly production engineer,Software Engineering,Balancell,Cape Town,$10k – $40k • 0.1% – 1.0%,https://angel.co/company/balancell-com/jobs/450775-battery-assembly-production-engineer
Junior Developer,Software Engineering,Balancell,Cape Town,$15k – $20k • No equity,https://angel.co/company/balancell-com/jobs/542192-junior-developer
UI Designer - Remote,Design,OnceHub,Remote,$35k – $47k • No equity,https://angel.co/company/oncehub/jobs/592960-ui-designer-remote
Director of Sales and Customer Success - Remote,Operations,OnceHub,Remote,,https://angel.co/company/oncehub/jobs/628860-director-of-sales-and-customer-success-remote
Product Manager - Remote,Other,OnceHub,Remote,$55k – $75k • No equity,https://angel.co/company/oncehub/jobs/412077-product-manager-remote
Mobile Apps Product Manager - Remote,Other,OnceHub,Remote,$55k – $75k • No equity,https://angel.co/company/oncehub/jobs/412078-mobile-apps-product-manager-remote
Head of Software Product Management,Other,M-KOPA,Kenya,$1k – $2k • No equity,https://angel.co/company/m-kopa-1/jobs/586901-head-of-software-product-management
"Sebokeng hospital needs nurses,admin and general workers call Mr Molefe on 0637605001",Management,Sebokeng hospital,Vanderbijlpark,$9k – $37k • 10.0% – 25.0%,https://angel.co/company/sebokeng-hospital/jobs/583960-sebokeng-hospital-needs-nurses-admin-and-general-workers-call-mr-molefe-on-0637605001
Software Engineer for CTO Position,Management,aXessPoint,Remote,$75k – $100k • 3.0% – 5.0%,https://angel.co/company/the-condo-app/jobs/582514-software-engineer-for-cto-position
Tech Founder,Management,Antler,Amsterdam,No salary • No equity,https://angel.co/company/antler/jobs/489390-tech-founder
Partner,Management,Antler,Singapore,,https://angel.co/company/antler/jobs/495053-partner
Founder,Management,Antler,Singapore,No salary • No equity,https://angel.co/company/antler/jobs/531305-founder
Founder,Management,Antler,London,No salary • No equity,https://angel.co/company/antler/jobs/566684-founder
Founder,Management,Antler,Nairobi,$18k – $18k • No equity,https://angel.co/company/antler/jobs/578337-founder
Founder,Management,Antler,Stockholm,No salary • No equity,https://angel.co/company/antler/jobs/585142-founder
Founder,Management,Antler,Singapore,No salary • No equity,https://angel.co/company/antler/jobs/586396-founder
Founder OSL1,Management,Antler,Singapore,No salary • No equity,https://angel.co/company/antler/jobs/599421-founder-osl1
Founder,Management,Antler,Netherlands,No salary • No equity,https://angel.co/company/antler/jobs/601959-founder
Founder,Management,Antler,Singapore,No salary • No equity,https://angel.co/company/antler/jobs/632061-founder
"Internship opportunities across Marketing, Finance/Fund Raising, Recruiting",Marketing,Antler,London,£1k – £2k • No equity,https://angel.co/company/antler/jobs/489189-internship-opportunities-across-marketing-finance-fund-raising-recruiting
Internship,Marketing,Antler,Stockholm,,https://angel.co/company/antler/jobs/490488-internship
Marketing and Communications Internship,Marketing,Antler,Singapore,,https://angel.co/company/antler/jobs/517615-marketing-and-communications-internship
Operations Internship,Marketing,Antler,New York City,,https://angel.co/company/antler/jobs/559416-operations-internship
Media and Communications Internship,Marketing,Antler,Amsterdam,,https://angel.co/company/antler/jobs/584344-media-and-communications-internship
Marketing and Communications Internship,Marketing,Antler,London,,https://angel.co/company/antler/jobs/629642-marketing-and-communications-internship
Marketing Manager,Marketing,Antler,London,,https://angel.co/company/antler/jobs/633900-marketing-manager
Social Media Manager,Marketing,Antler,London,,https://angel.co/company/antler/jobs/645452-social-media-manager
Recruiting Internship,Operations,Antler,Singapore,,https://angel.co/company/antler/jobs/490503-recruiting-internship
Recruiting Internship,Operations,Antler,London,,https://angel.co/company/antler/jobs/490504-recruiting-internship
Partner,Operations,Antler,Singapore,,https://angel.co/company/antler/jobs/490506-partner
Recruitment Internship,Operations,Antler,Amsterdam,,https://angel.co/company/antler/jobs/516398-recruitment-internship
Recruiting Manager,Operations,Antler,London,,https://angel.co/company/antler/jobs/582280-recruiting-manager
Internal Recruiter,Operations,Antler,London,£35k – £40k • No equity,https://angel.co/company/antler/jobs/582332-internal-recruiter
Finance Internship,Operations,Antler,Amsterdam,,https://angel.co/company/antler/jobs/588675-finance-internship
Global Head of Structuring and Compliance ,Operations,Antler,Singapore,,https://angel.co/company/antler/jobs/592121-global-head-of-structuring-and-compliance
Junior Recruiter,Operations,Antler,Stockholm,,https://angel.co/company/antler/jobs/607424-junior-recruiter
International Launcher,Operations,Antler,Singapore,,https://angel.co/company/antler/jobs/622564-international-launcher
Internship Recruiting (part time/full time),Operations,Antler,Stockholm,,https://angel.co/company/antler/jobs/632789-internship-recruiting-part-time-full-time
Global Head of Structuring and Compliance ,Operations,Antler,Oslo,,https://angel.co/company/antler/jobs/641700-global-head-of-structuring-and-compliance
Recruiter,Operations,Antler,London,,https://angel.co/company/antler/jobs/644921-recruiter
Technology Internship,Software Engineering,Antler,Singapore,,https://angel.co/company/antler/jobs/490486-technology-internship
Program internship,Software Engineering,Antler,Amsterdam,No salary • No equity,https://angel.co/company/antler/jobs/633629-program-internship
Global Product/Business Internship,Other,Antler,Singapore,,https://angel.co/company/antler/jobs/490484-global-product-business-internship
"Director Finance, Legal and Recruiting",Other,Antler,Nairobi,,https://angel.co/company/antler/jobs/608161-director-finance-legal-and-recruiting
Finance / Legal Manager ,Other,Antler,Amsterdam,,https://angel.co/company/antler/jobs/624836-finance-legal-manager
"Director, Antler Indonesia",Other,Antler,Jakarta,,https://angel.co/company/antler/jobs/625914-director-antler-indonesia
Business Operations Manager,Operations,WellPower,Kenya,$5k – $15k • 0.0% – 5.0%,https://angel.co/company/wellpower/jobs/577608-business-operations-manager
SEO expert - Part-time,Marketing,RECONO.ME,London,£5k – £15k • No equity,https://angel.co/company/recono-me/jobs/407911-seo-expert-part-time
E-Commerce Manager - Sustainable Electronics @ RECONO.ME,Marketing,RECONO.ME,London,£30k – £50k • No equity,https://angel.co/company/recono-me/jobs/495779-e-commerce-manager-sustainable-electronics-recono-me
Hardware Start-Up Master Technician (Level 3 or above),Operations,RECONO.ME,East London,£30k – £40k • 0.0% – 1.0%,https://angel.co/company/recono-me/jobs/576118-hardware-start-up-master-technician-level-3-or-above
Full-stack developer (part-time),Software Engineering,RECONO.ME,London,£20k – £40k • No equity,https://angel.co/company/recono-me/jobs/405531-full-stack-developer-part-time
Technical Lead/CTO/Co-Founder,Management,Vemgoo,Cape Town,$0k – $30k • 5.0% – 15.0%,https://angel.co/company/vemgoo/jobs/573869-technical-lead-cto-co-founder
Junior Software Engineer,Software Engineering,Vemgoo,Cape Town,$1k – $3k • No equity,https://angel.co/company/vemgoo/jobs/440663-junior-software-engineer
Senior Frontend Developer,Software Engineering,Vemgoo,Cape Town,$20k – $50k • 0.0% – 6.0%,https://angel.co/company/vemgoo/jobs/490175-senior-frontend-developer
