Job,Job Link,Company,Company Link,Salary Range,Contract Type
Director General,https://www.fuzu.com/jobs/director-general-kenya-vision-2030-da665d9f,Kenya Vision 2030 ,https://www.fuzu.com/company/kenya-vision-2030,Confidential,Permanent
Swimming Instructor & Lifeguard (School),https://www.fuzu.com/jobs/swimming-instructor-lifeguard-school-wisen-group,Wisen Group,https://www.fuzu.com/company/wisen-group,Confidential,Permanent
Relationship Manager Corporate & Private Banking,https://www.fuzu.com/jobs/relationship-manager-corporate-private-banking-national-bank,National Bank,https://www.fuzu.com/company/national-bank,Confidential,Permanent
"Head of Communications (The Girl Generation, Phase 2)",https://www.fuzu.com/jobs/head-of-communications-the-girl-generation-phase-2-options-consultancy-services,Options Consultancy Services,https://www.fuzu.com/company/options-consultancy-services,Confidential,Fixed term
"Senior Operational and Safeguarding Manager (The Girl Generation, Phase 2)",https://www.fuzu.com/jobs/senior-operational-and-safeguarding-manager-the-girl-generation-phase-2-options-consultancy-services,Options Consultancy Services,https://www.fuzu.com/company/options-consultancy-services,Confidential,Fixed term
Grants Manager,https://www.fuzu.com/jobs/grants-manager-options-consultancy-services,Options Consultancy Services,https://www.fuzu.com/company/options-consultancy-services,Confidential,Permanent
Safeguarding Officer,https://www.fuzu.com/jobs/safeguarding-officer-options-consultancy-services,Options Consultancy Services,https://www.fuzu.com/company/options-consultancy-services,Confidential,Permanent
Grants Lead,https://www.fuzu.com/jobs/grants-lead-options-consultancy-services,Options Consultancy Services,https://www.fuzu.com/company/options-consultancy-services,Confidential,Permanent
Finance Officer,https://www.fuzu.com/jobs/finance-officer-international-commission-of-jurists-icj-kenya,International Commission of Jurists (ICJ Kenya),https://www.fuzu.com/company/international-commission-of-jurists-icj-kenya,Confidential,Permanent
Record Management Intern,https://www.fuzu.com/jobs/record-management-intern-international-commission-of-jurists-icj-kenya,International Commission of Jurists (ICJ Kenya),https://www.fuzu.com/company/international-commission-of-jurists-icj-kenya,Confidential,Permanent
Senior Manager IT Applications & Asset Management,https://www.fuzu.com/jobs/senior-manager-it-applications-asset-management-kcb-group,KCB Group,https://www.fuzu.com/company/kcb-group,Confidential,Permanent
IT Asset Management Analyst,https://www.fuzu.com/jobs/it-asset-management-analyst-kcb-group,KCB Group,https://www.fuzu.com/company/kcb-group,Confidential,Permanent
Finance Officer,https://www.fuzu.com/jobs/finance-officer-kenya-institute-of-management-4cf7f932,Kenya Institute Of Management,https://www.fuzu.com/company/kenya-institute-of-management,Confidential,Permanent
Procurement & Supply Chain Learning Advisor and Business Development Officer,https://www.fuzu.com/jobs/procurement-supply-chain-learning-advisor-and-business-development-officer-the-networked-pros,The Networked Pros,https://www.fuzu.com/company/the-networked-pros,Confidential,Permanent
