Job,Company,Location,Days posted
Manager Support Program Lead AssociatePromoted,One Acre Fund,"Nairobi, KE",1d
"Technical Support Engineer - $60,000/year USD - JobID #3330Promoted",Crossover for Work,"Nairobi, KE",New
Vet Nurse - Full-time - Matraville Veterinary Hospital,VetPartners Australia and New Zealand,"Eastern Province, KE",New
Branch Manager/Takbestuurder,OVK - Group/Groep,"Eastern Province, KE",2d
Advertising Sales,Alliance In Motion Global Incorporated,,
HOST,Longhorn Steakhouse,"Western Province, KE",5d
Turnaround Coordinator NB.Passenger Ramp Services,Kenya Airways,"Nairobi, KE",4d
Internal Audit – Audit Senior,Latitude Resource,"Western Province, KE",2d
Production Operator,Staff Solutions Limited,"Western Province, KE",3d
MAINTENANCE MANAGER,Farm Manager,"Western Province, KE",6d
Sous Chef (Prue Leith or similar fine dining Qualification),Architectural Services,"Eastern Province, KE",2d
Sales Exec (Technical),West Coast Personnel,"Western Province, KE",5d
Laboratory Professionals: Medical Laboratory Technologist | JOB-2623467,CompHealth,"Eastern Province, KE",3d
Network Marketing Specialist,Seasons Holdings,,
Investment Officer – Private Equity Funds (PE),World Bank Group,"Nairobi, KE",5d
Customs Manager,Tumaini Consulting,"Western Province, KE",5d
Commercial Producer,Kenya Red Cross,"Nairobi, KE",6d
