Job Title,Company,Location,Salary,Job_link,Company Link
Lead Software Engineer,Insegna,Abuj,No salary • 8.0% – 10.0%,https://angel.co/company/insegna-1/jobs/591167-lead-software-engineer,https://angel.co/company/insegna-1
Blogger,Hoodtrends,Lagos • Enugu •,$1k – $1k,https://angel.co/company/hoodtrends/jobs/446522-blogger,https://angel.co/company/hoodtrends
Partner - Co-founder,Furniture Business,Egypt,$1k – $10k • 5.0% – 30.0%,https://angel.co/company/furniture-business/jobs/346771-partner-co-founder,https://angel.co/company/furniture-business
Freelance consultants,Aniera Homes,Lagos •,$2k – $3k,https://angel.co/company/aniera-homes/jobs/510882-freelance-consultants,https://angel.co/company/aniera-homes
Business Operations Manager,WellPower,Kenya,$5k – $15k • 0.0% – 5.0%,https://angel.co/company/wellpower/jobs/577608-business-operations-manager,https://angel.co/company/wellpower
Software Tester,OZÉ,Accra,$6k – $12k • 0.25% – 0.5%,https://angel.co/company/oze-1/jobs/394311-software-tester,https://angel.co/company/oze-1
Investment Manager,COSEF,Kampala,$4k – $20k • 0.0% – 2.0%,https://angel.co/company/cosef-4/jobs/406116-investment-manager,https://angel.co/company/cosef-4
Call Center Support,C3 Connect,McGregor •,$22k – $25k,https://angel.co/company/c3-connect-1/jobs/622140-call-center-support,https://angel.co/company/c3-connect-1
Mobile and web developer,Zestar,igeria • Ibadan,No salary • 3.0% – 6.0%,https://angel.co/company/zestar/jobs/426821-mobile-and-web-developer,https://angel.co/company/zestar
CTO - Software Engineer and app developer,WeTrain,Nairobi • Remote,$25k – $30k • 0.0% – 4.0%,https://angel.co/company/wetrain-2/jobs/624210-cto-software-engineer-and-app-developer,https://angel.co/company/wetrain-2
Full Stack Engineer for Mobile App,Vids,Los Angeles • San Francisco • Century City,$75k – $150k • 1.0% – 10.0%,https://angel.co/company/vids/jobs/537810-full-stack-engineer-for-mobile-app,https://angel.co/company/vids
Software Developer,Corporate Headhunters,Lagos •,$9k – $11k,https://angel.co/company/corporate-headhunters/jobs/651882-software-developer,https://angel.co/company/corporate-headhunters
Part time jobs for students,alpha inc company,Nairobi •,$10k – $20k,https://angel.co/company/alpha-inc-company/jobs/412313-part-time-jobs-for-students,https://angel.co/company/alpha-inc-company
Senior C#.NET Software Engineer,OrderIn,Cape Town •,$55k – $75k,https://angel.co/company/orderin-co-za/jobs/189880-senior-c-net-software-engineer,https://angel.co/company/orderin-co-za
Regional Director,Grade,Cape Town • Nairobi • Grand Casablanca •,$35k – $45k,https://angel.co/company/getgrade/jobs/661508-regional-director,https://angel.co/company/getgrade
UI/UX Designer,hellohr,Cape Town,$12k – $25k • 0.0% – 1.0%,https://angel.co/company/hellohr-1/jobs/675208-ui-ux-designer,https://angel.co/company/hellohr-1
UI/UX Design Intern,hellohr,Cape Town •,$4k – $6k,https://angel.co/company/hellohr-1/jobs/675210-ui-ux-design-intern,https://angel.co/company/hellohr-1
Webinar Sales Representative,ReturnOnSaas,South Africa • Philippines • Mexico City •,$7k – $10k,https://angel.co/company/returnonsaas/jobs/643215-webinar-sales-representative,https://angel.co/company/returnonsaas
Vice President Business Operations,Komaza,Kilifi,$80k – $110k • 5.0% – 10.0%,https://angel.co/company/komaza/jobs/462366-vice-president-business-operations,https://angel.co/company/komaza
Quality Assurance Analyst & Ambassador,Eversend,Uganda • Kenya • Tanzania •,$1k – $2k,https://angel.co/company/eversend/jobs/584425-quality-assurance-analyst-ambassador,https://angel.co/company/eversend
Customer Support Specialist,Eversend,Kampala •,$3k – $5k,https://angel.co/company/eversend/jobs/669767-customer-support-specialist,https://angel.co/company/eversend
"Product Manager, Optimization",OmniPA,Cape Town •,€10k – €12k,https://angel.co/company/omnipa/jobs/643120-product-manager-optimization,https://angel.co/company/omnipa
Growth Hacker,CoGrammar,London • Cape Town,£24k – £40k • 0.1% – 3.0%,https://angel.co/company/cogrammar/jobs/199786-growth-hacker,https://angel.co/company/cogrammar
Programming Lecturer (CPT/JHB),CoGrammar,Cape Town • Johannesburg •,$15k – $45k,https://angel.co/company/cogrammar/jobs/545844-programming-lecturer-cpt-jhb,https://angel.co/company/cogrammar
